2023-06-03 16:58:06,953 (DEBUG):  display.recalculate_risk_extents - Recalculating risk extents
2023-06-03 16:58:08,762 (DEBUG):  display.get_news_for_ticker - Getting news for AMZN
2023-06-03 16:58:08,762 (DEBUG):  display.get_news_for_ticker - Getting news for AAPL
2023-06-03 16:58:08,763 (DEBUG):  display.get_news_for_ticker - Getting news for BAC
2023-06-03 16:58:08,763 (DEBUG):  display.get_news_for_ticker - Getting news for BTC-USD
2023-06-03 16:58:08,764 (DEBUG):  display.get_news_for_ticker - Getting news for ETH-USD
2023-06-03 16:58:08,764 (DEBUG):  display.get_news_for_ticker - Getting news for GOOG
2023-06-03 16:58:08,764 (DEBUG):  display.get_news_for_ticker - Getting news for GOLD
2023-06-03 16:58:08,764 (DEBUG):  display.get_news_for_ticker - Getting news for MMC
2023-06-03 16:58:08,764 (DEBUG):  display.get_news_for_ticker - Getting news for MSFT
2023-06-03 16:58:08,765 (DEBUG):  display.get_news_for_ticker - Getting news for XOM
2023-06-03 16:58:08,765 (DEBUG):  display.get_news_for_ticker - Getting news for NVDA
2023-06-03 16:58:08,766 (DEBUG):  display.get_news_for_ticker - Getting news for V
2023-06-03 16:58:09,179 (DEBUG):  display.get_news_for_ticker - Search query: financial news about Marsh & McLennan Companies, Inc. or MMC
2023-06-03 16:58:09,200 (DEBUG):  display.get_news_for_ticker - Search query: financial news about Apple Inc. or AAPL
2023-06-03 16:58:09,200 (DEBUG):  display.get_news_for_ticker - Search query: financial news about Bank of America Corporation or BAC
2023-06-03 16:58:09,215 (DEBUG):  display.get_news_for_ticker - Search query: financial news about Ethereum USD or ETH-USD
2023-06-03 16:58:09,223 (DEBUG):  display.get_news_for_ticker - Search query: financial news about NVIDIA Corporation or NVDA
2023-06-03 16:58:09,224 (DEBUG):  display.get_news_for_ticker - Search query: financial news about Amazon.com, Inc. or AMZN
2023-06-03 16:58:09,243 (DEBUG):  display.get_news_for_ticker - Search query: financial news about Barrick Gold Corporation or GOLD
2023-06-03 16:58:09,247 (DEBUG):  display.get_news_for_ticker - Search query: financial news about Alphabet Inc. or GOOG
2023-06-03 16:58:09,257 (DEBUG):  display.get_news_for_ticker - Search query: financial news about Visa Inc. or V
2023-06-03 16:58:09,277 (DEBUG):  display.get_news_for_ticker - Search query: financial news about Microsoft Corporation or MSFT
2023-06-03 16:58:09,284 (DEBUG):  display.get_news_for_ticker - Search query: financial news about Exxon Mobil Corporation or XOM
2023-06-03 16:58:09,308 (DEBUG):  display.get_news_for_ticker - Search query: financial news about Bitcoin USD or BTC-USD
2023-06-03 16:58:10,839 (DEBUG):  display.get_news_for_ticker - Search results returned for financial news about Barrick Gold Corporation or GOLD, dict_keys(['searchParameters', 'news'])
2023-06-03 16:58:10,839 (DEBUG):  display.get_news_for_ticker - processing news item 0 for company Barrick Gold Corporation and ticker GOLD from link https://www.marketbeat.com/instant-alerts/nyse-gold-consensus-analyst-rating-2023-05-30/
2023-06-03 16:58:10,911 (DEBUG):  display.get_news_for_ticker - Search results returned for financial news about NVIDIA Corporation or NVDA, dict_keys(['searchParameters', 'news'])
2023-06-03 16:58:10,911 (DEBUG):  display.get_news_for_ticker - processing news item 0 for company NVIDIA Corporation and ticker NVDA from link https://www.marketbeat.com/instant-alerts/nasdaq-nvda-sec-filing-2023-06-02/
2023-06-03 16:58:10,944 (DEBUG):  display.get_news_for_ticker - Search results returned for financial news about Amazon.com, Inc. or AMZN, dict_keys(['searchParameters', 'news'])
2023-06-03 16:58:10,944 (DEBUG):  display.get_news_for_ticker - processing news item 0 for company Amazon.com, Inc. and ticker AMZN from link https://www.reuters.com/business/media-telecom/us-telecom-stocks-fall-report-amazon-talks-wireless-services-2023-06-02/
2023-06-03 16:58:10,957 (DEBUG):  display.get_news_for_ticker - Search results returned for financial news about Visa Inc. or V, dict_keys(['searchParameters', 'news'])
2023-06-03 16:58:10,957 (DEBUG):  display.get_news_for_ticker - processing news item 0 for company Visa Inc. and ticker V from link https://www.investorsobserver.com/news/stock-update/will-visa-inc-v-stay-at-the-top-of-the-financial-services-sector-5
2023-06-03 16:58:10,989 (DEBUG):  display.get_news_for_ticker - Search results returned for financial news about Marsh & McLennan Companies, Inc. or MMC, dict_keys(['searchParameters', 'news'])
2023-06-03 16:58:10,990 (DEBUG):  display.get_news_for_ticker - processing news item 0 for company Marsh & McLennan Companies, Inc. and ticker MMC from link https://www.marketbeat.com/instant-alerts/nyse-mmc-sec-filing-2023-06-02/
2023-06-03 16:58:11,002 (DEBUG):  display.get_news_for_ticker - Search results returned for financial news about Ethereum USD or ETH-USD, dict_keys(['searchParameters', 'news'])
2023-06-03 16:58:11,002 (DEBUG):  display.get_news_for_ticker - processing news item 0 for company Ethereum USD and ticker ETH-USD from link https://milkroad.com/ethereum
2023-06-03 16:58:11,083 (DEBUG):  display.get_news_for_ticker - Search results returned for financial news about Microsoft Corporation or MSFT, dict_keys(['searchParameters', 'news'])
2023-06-03 16:58:11,083 (DEBUG):  display.get_news_for_ticker - processing news item 0 for company Microsoft Corporation and ticker MSFT from link https://www.cnbc.com/2023/06/01/microsoft-inks-deal-with-coreweave-to-meet-openai-cloud-demand.html
2023-06-03 16:58:11,215 (DEBUG):  display.get_news_for_ticker - Search results returned for financial news about Alphabet Inc. or GOOG, dict_keys(['searchParameters', 'news'])
2023-06-03 16:58:11,215 (DEBUG):  display.get_news_for_ticker - processing news item 0 for company Alphabet Inc. and ticker GOOG from link https://www.cnbc.com/2023/06/02/google-says-gmail-on-your-phone-just-got-a-lot-faster-thanks-to-ai.html
2023-06-03 16:58:11,277 (DEBUG):  display.get_news_for_ticker - Search results returned for financial news about Bitcoin USD or BTC-USD, dict_keys(['searchParameters', 'news'])
2023-06-03 16:58:11,277 (DEBUG):  display.get_news_for_ticker - processing news item 0 for company Bitcoin USD and ticker BTC-USD from link https://www.nasdaq.com/articles/3-top-cryptocurrencies-just-waiting-to-take-off
2023-06-03 16:58:11,292 (DEBUG):  display.get_news_for_ticker - Search results returned for financial news about Apple Inc. or AAPL, dict_keys(['searchParameters', 'news'])
2023-06-03 16:58:11,292 (DEBUG):  display.get_news_for_ticker - processing news item 0 for company Apple Inc. and ticker AAPL from link https://www.marketbeat.com/instant-alerts/nasdaq-aapl-sec-filing-2023-06-02/
2023-06-03 16:58:11,317 (DEBUG):  display.get_news_for_ticker - Search results returned for financial news about Bank of America Corporation or BAC, dict_keys(['searchParameters', 'news'])
2023-06-03 16:58:11,317 (DEBUG):  display.get_news_for_ticker - processing news item 0 for company Bank of America Corporation and ticker BAC from link https://www.reuters.com/business/finance/bank-america-ceo-sees-investment-banking-trading-staying-flat-q2-2023-06-01/
2023-06-03 16:58:11,648 (DEBUG):  display.get_news_for_ticker - Search results returned for financial news about Exxon Mobil Corporation or XOM, dict_keys(['searchParameters', 'news'])
2023-06-03 16:58:11,648 (DEBUG):  display.get_news_for_ticker - processing news item 0 for company Exxon Mobil Corporation and ticker XOM from link https://www.marketbeat.com/instant-alerts/nyse-xom-sec-filing-2023-06-02/
